comment_id,date,video_title,country_inferred,group,phase,language,text,english_translation,vader_compound,sentiment_3class,likes
yt_000037,2026-02-15,How the Hormuz Blockade Affects India,India,Oil-Dependent,BASELINE,en,Oil markets seem stable today despite the noise.,,0.296,positive,1
yt_000038,2026-02-15,Iran War Update: Day 1,India,Oil-Dependent,BASELINE,en,Following the Strait of Hormuz developments closely. Complicated situation.,,0.0,neutral,2
yt_000039,2026-02-15,Energy Crisis 2026: The Full Story,India,Oil-Dependent,BASELINE,en,Gas prices are absolutely insane right now. Can't even afford to commute anymore.,,-0.4576,negative,4
yt_000040,2026-02-15,Energy Crisis 2026: The Full Story,Philippines,Oil-Dependent,BASELINE,en,Oil markets seem stable today despite the noise.,,0.296,positive,6
yt_000041,2026-02-15,بحران تنگه هرمز — توضیح کامل,Philippines,Oil-Dependent,BASELINE,en,Interesting article about global energy supply chains.,,0.5859,positive,34
yt_000042,2026-02-15,Strait of Hormuz Crisis Explained,Philippines,Oil-Dependent,BASELINE,en,How dependent is our country on Hormuz oil imports?,,0.0,neutral,2
yt_000043,2026-02-15,How the Hormuz Blockade Affects Philippines,Philippines,Oil-Dependent,BASELINE,en,What do you think about the tensions in the Gulf region?,,-0.4019,negative,14
yt_000044,2026-02-15,How the Hormuz Blockade Affects Philippines,Philippines,Oil-Dependent,BASELINE,en,Oil markets seem stable today despite the noise.,,0.296,positive,5
yt_000045,2026-02-15,Iran War Update: Day 1,USA,Oil-Independent,BASELINE,en,Following the Strait of Hormuz developments closely. Complicated situation.,,0.0,neutral,15
yt_000046,2026-02-15,Energy Crisis 2026: The Full Story,USA,Oil-Independent,BASELINE,en,Weekend plans unaffected by any geopolitical drama so far.,,0.0,neutral,3
yt_000047,2026-02-15,Energy Crisis 2026: The Full Story,USA,Oil-Independent,BASELINE,en,The Middle East situation bears watching but nothing dramatic yet.,,0.0,neutral,9
yt_000048,2026-02-15,بحران تنگه هرمز — توضیح کامل,USA,Oil-Independent,BASELINE,en,"Normal day, normal prices. Hope it stays that way.",,0.4404,positive,1
yt_000049,2026-02-15,افزایش قیمت نفت — تاثیر بر زندگی مردم,USA,Oil-Independent,BASELINE,en,How dependent is our country on Hormuz oil imports?,,0.0,neutral,2
yt_000050,2026-02-15,Iran War Update: Day 1,USA,Oil-Independent,BASELINE,en,Interesting article about global energy supply chains.,,0.5859,positive,1
yt_000051,2026-02-15,Iran War Update: Day 1,USA,Oil-Independent,BASELINE,en,The Middle East situation bears watching but nothing dramatic yet.,,0.0,neutral,1
yt_000052,2026-02-15,Oil Prices SURGE - What It Means For You,USA,Oil-Independent,BASELINE,en,Interesting article about global energy supply chains.,,0.5859,positive,6
yt_000053,2026-02-15,Iran War Update: Day 1,USA,Oil-Independent,BASELINE,en,Energy policy discussion - should we diversify more?,,0.2732,positive,39
yt_000054,2026-02-15,بحران انرژی ۲۰۲۶ — آخرین اخبار,USA,Oil-Independent,BASELINE,en,The Middle East situation bears watching but nothing dramatic yet.,,0.0,neutral,4
yt_000055,2026-02-15,Iran War Update: Day 1,USA,Oil-Independent,BASELINE,en,The Middle East situation bears watching but nothing dramatic yet.,,0.0,neutral,3
yt_000056,2026-02-15,Will Gas Prices Ever Come Down?,USA,Oil-Independent,BASELINE,en,What do you think about the tensions in the Gulf region?,,-0.4019,negative,2
yt_000057,2026-02-15,Oil Prices SURGE - What It Means For You,USA,Oil-Independent,BASELINE,en,Gas prices are absolutely insane right now. Can't even afford to commute anymore.,,-0.4576,negative,7
yt_000058,2026-02-15,Iran War Update: Day 1,USA,Oil-Independent,BASELINE,en,Energy policy discussion - should we diversify more?,,0.2732,positive,0
yt_000059,2026-02-15,Will Gas Prices Ever Come Down?,USA,Oil-Independent,BASELINE,en,How dependent is our country on Hormuz oil imports?,,0.0,neutral,10
yt_000060,2026-02-15,How the Hormuz Blockade Affects USA,USA,Oil-Independent,BASELINE,en,"Normal day, normal prices. Hope it stays that way.",,0.4404,positive,1
yt_000061,2026-02-15,Energy Crisis 2026: The Full Story,USA,Oil-Independent,BASELINE,en,Weekend plans unaffected by any geopolitical drama so far.,,0.0,neutral,5
yt_000062,2026-02-15,Iran War Update: Day 1,UK,Oil-Independent,BASELINE,en,Interesting analysis of the Hormuz situation and oil flows.,,0.4019,positive,30
yt_000063,2026-02-15,How the Hormuz Blockade Affects UK,UK,Oil-Independent,BASELINE,en,Energy policy discussion - should we diversify more?,,0.2732,positive,85
yt_000064,2026-02-15,Oil Prices SURGE - What It Means For You,UK,Oil-Independent,BASELINE,en,Just filled up the car. Prices normal for now.,,0.0,neutral,6
yt_000065,2026-02-15,افزایش قیمت نفت — تاثیر بر زندگی مردم,UK,Oil-Independent,BASELINE,en,Oil prices up again. Markets adjusting to the new reality.,,0.0,neutral,18
yt_000066,2026-02-15,Energy Crisis 2026: The Full Story,UK,Oil-Independent,BASELINE,en,Reading about Iran nuclear talks. Fingers crossed.,,0.0,neutral,1
yt_000067,2026-02-15,How the Hormuz Blockade Affects UK,UK,Oil-Independent,BASELINE,en,Oil markets seem stable today despite the noise.,,0.296,positive,0
yt_000068,2026-02-15,بحران انرژی ۲۰۲۶ — آخرین اخبار,UK,Oil-Independent,BASELINE,en,Interesting article about global energy supply chains.,,0.5859,positive,38
yt_000069,2026-02-15,Iran War Update: Day 1,UK,Oil-Independent,BASELINE,en,Oil prices up again. Markets adjusting to the new reality.,,0.0,neutral,1
yt_000070,2026-02-15,Iran War Update: Day 1,UK,Oil-Independent,BASELINE,en,The Middle East situation bears watching but nothing dramatic yet.,,0.0,neutral,17
yt_000071,2026-02-15,بحران تنگه هرمز — توضیح کامل,UK,Oil-Independent,BASELINE,en,Energy policy discussion - should we diversify more?,,0.2732,positive,3
yt_000072,2026-02-15,How the Hormuz Blockade Affects UK,UK,Oil-Independent,BASELINE,en,Reading about Iran nuclear talks. Fingers crossed.,,0.0,neutral,0
yt_000073,2026-02-15,بحران انرژی ۲۰۲۶ — آخرین اخبار,UK,Oil-Independent,BASELINE,en,Just filled up the car. Prices normal for now.,,0.0,neutral,1
yt_000074,2026-02-15,بحران انرژی ۲۰۲۶ — آخرین اخبار,Canada,Oil-Independent,BASELINE,en,Weekend plans unaffected by any geopolitical drama so far.,,0.0,neutral,0
yt_000075,2026-02-15,Strait of Hormuz Crisis Explained,Canada,Oil-Independent,BASELINE,en,Oil markets seem stable today despite the noise.,,0.296,positive,9
yt_000076,2026-02-15,Oil Prices SURGE - What It Means For You,Canada,Oil-Independent,BASELINE,en,Energy policy discussion - should we diversify more?,,0.2732,positive,0
yt_000077,2026-02-15,Energy Crisis 2026: The Full Story,Canada,Oil-Independent,BASELINE,en,"Normal day, normal prices. Hope it stays that way.",,0.4404,positive,0
yt_000078,2026-02-15,Strait of Hormuz Crisis Explained,Canada,Oil-Independent,BASELINE,en,The Middle East situation bears watching but nothing dramatic yet.,,0.0,neutral,8
yt_000079,2026-02-15,Iran War Update: Day 1,Canada,Oil-Independent,BASELINE,en,Interesting analysis of the Hormuz situation and oil flows.,,0.4019,positive,65
yt_000080,2026-02-15,How the Hormuz Blockade Affects Canada,Canada,Oil-Independent,BASELINE,en,Interesting article about global energy supply chains.,,0.5859,positive,5
yt_000081,2026-02-15,Strait of Hormuz Crisis Explained,Canada,Oil-Independent,BASELINE,en,Just filled up the car. Prices normal for now.,,0.0,neutral,5
yt_000082,2026-02-15,بحران تنگه هرمز — توضیح کامل,Canada,Oil-Independent,BASELINE,en,Oil markets seem stable today despite the noise.,,0.296,positive,0
yt_000083,2026-02-15,افزایش قیمت نفت — تاثیر بر زندگی مردم,Australia,Oil-Independent,BASELINE,en,Reading about Iran nuclear talks. Fingers crossed.,,0.0,neutral,10
yt_000084,2026-02-15,Iran War Update: Day 1,Australia,Oil-Independent,BASELINE,en,Reading about Iran nuclear talks. Fingers crossed.,,0.0,neutral,1
yt_000085,2026-02-15,Will Gas Prices Ever Come Down?,Australia,Oil-Independent,BASELINE,en,Reading about Iran nuclear talks. Fingers crossed.,,0.0,neutral,32
yt_000086,2026-02-15,Oil Prices SURGE - What It Means For You,Australia,Oil-Independent,BASELINE,en,"Normal day, normal prices. Hope it stays that way.",,0.4404,positive,4
yt_000087,2026-02-15,How the Hormuz Blockade Affects Australia,Australia,Oil-Independent,BASELINE,en,The Middle East situation bears watching but nothing dramatic yet.,,0.0,neutral,1
yt_000088,2026-02-15,Energy Crisis 2026: The Full Story,Australia,Oil-Independent,BASELINE,en,Energy policy discussion - should we diversify more?,,0.2732,positive,0
yt_000089,2026-02-15,Will Gas Prices Ever Come Down?,South Korea,Oil-Dependent,BASELINE,en,Weekend plans unaffected by any geopolitical drama so far.,,0.0,neutral,12
yt_000090,2026-02-15,Strait of Hormuz Crisis Explained,South Korea,Oil-Dependent,BASELINE,en,Reading about Iran nuclear talks. Fingers crossed.,,0.0,neutral,8
yt_000091,2026-02-15,Strait of Hormuz Crisis Explained,South Korea,Oil-Dependent,BASELINE,en,Interesting analysis of the Hormuz situation and oil flows.,,0.4019,positive,0
yt_000092,2026-02-15,Strait of Hormuz Crisis Explained,South Korea,Oil-Dependent,BASELINE,en,Gas prices are absolutely insane right now. Can't even afford to commute anymore.,,-0.4576,negative,47
yt_000093,2026-02-15,How the Hormuz Blockade Affects South Korea,South Korea,Oil-Dependent,BASELINE,en,How dependent is our country on Hormuz oil imports?,,0.0,neutral,1
yt_000094,2026-02-15,How the Hormuz Blockade Affects South Korea,South Korea,Oil-Dependent,BASELINE,en,Just filled up the car. Prices normal for now.,,0.0,neutral,0
yt_000095,2026-02-15,Strait of Hormuz Crisis Explained,South Korea,Oil-Dependent,BASELINE,en,Just filled up the car. Prices normal for now.,,0.0,neutral,3
yt_000096,2026-02-15,Energy Crisis 2026: The Full Story,South Korea,Oil-Dependent,BASELINE,en,Interesting analysis of the Hormuz situation and oil flows.,,0.4019,positive,36
yt_000097,2026-02-15,Oil Prices SURGE - What It Means For You,South Korea,Oil-Dependent,BASELINE,en,Weekend plans unaffected by any geopolitical drama so far.,,0.0,neutral,6
yt_000098,2026-02-15,بحران انرژی ۲۰۲۶ — آخرین اخبار,South Korea,Oil-Dependent,BASELINE,en,Just filled up the car. Prices normal for now.,,0.0,neutral,5
yt_000099,2026-02-15,Oil Prices SURGE - What It Means For You,South Korea,Oil-Dependent,BASELINE,en,Our country's strategic reserves are holding up well despite the crisis.,,0.6591,positive,4
yt_000100,2026-02-15,Iran War Update: Day 1,Iran,Conflict-Zone,BASELINE,fa,بحث سیاست انرژی — آیا باید بیشتر متنوع کنیم؟,Energy policy discussion — should we diversify more?,0.2732,positive,1
yt_000101,2026-02-15,How the Hormuz Blockade Affects Iran,Iran,Conflict-Zone,BASELINE,fa,نظرتون درباره تنش‌های منطقه خلیج فارس چیه؟,What's your opinion on tensions in the Persian Gulf region?,-0.4019,negative,2
yt_000102,2026-02-15,Oil Prices SURGE - What It Means For You,Iran,Conflict-Zone,BASELINE,fa,بازار نفت امروز باثبات به نظر میاد.,Oil market looks stable today.,0.296,positive,3
yt_000103,2026-02-15,Will Gas Prices Ever Come Down?,Iran,Conflict-Zone,BASELINE,fa,روز عادی، قیمت‌های عادی. امیدوارم همینطوری بمونه.,"Normal day, normal prices. Hope it stays this way.",0.4404,positive,22
yt_000104,2026-02-15,بحران انرژی ۲۰۲۶ — آخرین اخبار,Iran,Conflict-Zone,BASELINE,fa,وضعیت خاورمیانه قابل پیگیریه ولی هنوز جدی نشده.,The Middle East situation is worth following but hasn't gotten serious yet.,0.1982,positive,1
yt_000105,2026-02-15,افزایش قیمت نفت — تاثیر بر زندگی مردم,Iran,Conflict-Zone,BASELINE,fa,کشور ما چقدر به واردات نفت هرمز وابسته است؟,How dependent is our country on Hormuz oil imports?,0.0,neutral,2
yt_000106,2026-02-15,بحران انرژی ۲۰۲۶ — آخرین اخبار,Iran,Conflict-Zone,BASELINE,fa,ماشین رو پر کردم. قیمت‌ها فعلاً عادیه.,Filled up the car. Prices are normal for now.,0.0,neutral,7
yt_000107,2026-02-15,افزایش قیمت نفت — تاثیر بر زندگی مردم,Iran,Conflict-Zone,BASELINE,fa,برنامه آخر هفته تحت تاثیر هیچ درام ژئوپلیتیکی نیست.,Weekend plans not affected by any geopolitical drama.,0.1139,positive,61
yt_000108,2026-02-15,Oil Prices SURGE - What It Means For You,Iran,Conflict-Zone,BASELINE,fa,بازار نفت امروز باثبات به نظر میاد.,Oil market looks stable today.,0.296,positive,21
yt_000109,2026-02-15,بحران انرژی ۲۰۲۶ — آخرین اخبار,Iran,Conflict-Zone,BASELINE,fa,ماشین رو پر کردم. قیمت‌ها فعلاً عادیه.,Filled up the car. Prices are normal for now.,0.0,neutral,3
yt_000110,2026-02-15,بحران انرژی ۲۰۲۶ — آخرین اخبار,Iran,Conflict-Zone,BASELINE,fa,وضعیت خاورمیانه قابل پیگیریه ولی هنوز جدی نشده.,The Middle East situation is worth following but hasn't gotten serious yet.,0.1982,positive,82
yt_000111,2026-02-15,How the Hormuz Blockade Affects Iran,Iran,Conflict-Zone,BASELINE,fa,دارم درباره مذاکرات هسته‌ای ایران می‌خونم.,Reading about Iran nuclear negotiations.,0.0,neutral,4
yt_000112,2026-02-15,How the Hormuz Blockade Affects Iran,Iran,Conflict-Zone,BASELINE,fa,برنامه آخر هفته تحت تاثیر هیچ درام ژئوپلیتیکی نیست.,Weekend plans not affected by any geopolitical drama.,0.1139,positive,2
yt_000113,2026-02-15,Iran War Update: Day 1,Iran,Conflict-Zone,BASELINE,fa,بحث سیاست انرژی — آیا باید بیشتر متنوع کنیم؟,Energy policy discussion — should we diversify more?,0.2732,positive,11
yt_000114,2026-02-15,افزایش قیمت نفت — تاثیر بر زندگی مردم,Iran,Conflict-Zone,BASELINE,fa,بازار نفت امروز باثبات به نظر میاد.,Oil market looks stable today.,0.296,positive,58
yt_000115,2026-02-15,Will Gas Prices Ever Come Down?,Iran,Conflict-Zone,BASELINE,fa,وضعیت خاورمیانه قابل پیگیریه ولی هنوز جدی نشده.,The Middle East situation is worth following but hasn't gotten serious yet.,0.1982,positive,4
yt_000116,2026-02-15,How the Hormuz Blockade Affects Iran,Iran,Conflict-Zone,BASELINE,fa,ماشین رو پر کردم. قیمت‌ها فعلاً عادیه.,Filled up the car. Prices are normal for now.,0.0,neutral,6
yt_000117,2026-02-15,Energy Crisis 2026: The Full Story,Iran,Conflict-Zone,BASELINE,fa,وضعیت خاورمیانه قابل پیگیریه ولی هنوز جدی نشده.,The Middle East situation is worth following but hasn't gotten serious yet.,0.1982,positive,0
yt_000118,2026-02-15,افزایش قیمت نفت — تاثیر بر زندگی مردم,Iran,Conflict-Zone,BASELINE,fa,کشور ما چقدر به واردات نفت هرمز وابسته است؟,How dependent is our country on Hormuz oil imports?,0.0,neutral,4
yt_000119,2026-02-15,Strait of Hormuz Crisis Explained,Iran,Conflict-Zone,BASELINE,fa,روز عادی، قیمت‌های عادی. امیدوارم همینطوری بمونه.,"Normal day, normal prices. Hope it stays this way.",0.4404,positive,18
yt_000120,2026-02-15,افزایش قیمت نفت — تاثیر بر زندگی مردم,Iran,Conflict-Zone,BASELINE,fa,وضعیت خاورمیانه قابل پیگیریه ولی هنوز جدی نشده.,The Middle East situation is worth following but hasn't gotten serious yet.,0.1982,positive,3
yt_000121,2026-02-15,بحران انرژی ۲۰۲۶ — آخرین اخبار,Iran,Conflict-Zone,BASELINE,fa,بحث سیاست انرژی — آیا باید بیشتر متنوع کنیم؟,Energy policy discussion — should we diversify more?,0.2732,positive,22
yt_000122,2026-02-15,How the Hormuz Blockade Affects Iran,Iran,Conflict-Zone,BASELINE,fa,وضعیت خاورمیانه قابل پیگیریه ولی هنوز جدی نشده.,The Middle East situation is worth following but hasn't gotten serious yet.,0.1982,positive,0
yt_000123,2026-02-15,Will Gas Prices Ever Come Down?,Afghanistan,Oil-Dependent,BASELINE,fa,ماشین رو پر کردم. قیمت‌ها فعلاً عادیه.,Filled up the car. Prices are normal for now.,0.0,neutral,8
yt_000124,2026-02-15,Will Gas Prices Ever Come Down?,Afghanistan,Oil-Dependent,BASELINE,fa,نظرتون درباره تنش‌های منطقه خلیج فارس چیه؟,What's your opinion on tensions in the Persian Gulf region?,-0.4019,negative,3
yt_000125,2026-02-15,Iran War Update: Day 1,Afghanistan,Oil-Dependent,BASELINE,fa,برنامه آخر هفته تحت تاثیر هیچ درام ژئوپلیتیکی نیست.,Weekend plans not affected by any geopolitical drama.,0.1139,positive,0
yt_000126,2026-02-16,Iran War Update: Day 1,Japan,Oil-Dependent,BASELINE,en,The Middle East situation bears watching but nothing dramatic yet.,,0.0,neutral,2
yt_000127,2026-02-16,How the Hormuz Blockade Affects Japan,Japan,Oil-Dependent,BASELINE,en,Interesting article about global energy supply chains.,,0.5859,positive,4
yt_000128,2026-02-16,Iran War Update: Day 1,Japan,Oil-Dependent,BASELINE,en,What do you think about the tensions in the Gulf region?,,-0.4019,negative,2
yt_000129,2026-02-16,Iran War Update: Day 1,Japan,Oil-Dependent,BASELINE,en,Reading about Iran nuclear talks. Fingers crossed.,,0.0,neutral,0
yt_000130,2026-02-16,بحران تنگه هرمز — توضیح کامل,Japan,Oil-Dependent,BASELINE,en,Oil markets seem stable today despite the noise.,,0.296,positive,24
yt_000131,2026-02-16,Will Gas Prices Ever Come Down?,Japan,Oil-Dependent,BASELINE,en,Oil markets seem stable today despite the noise.,,0.296,positive,3
yt_000132,2026-02-16,Oil Prices SURGE - What It Means For You,Japan,Oil-Dependent,BASELINE,en,The Middle East situation bears watching but nothing dramatic yet.,,0.0,neutral,45
yt_000133,2026-02-16,Oil Prices SURGE - What It Means For You,Japan,Oil-Dependent,BASELINE,en,Oil prices up again. Markets adjusting to the new reality.,,0.0,neutral,2
yt_000134,2026-02-16,Oil Prices SURGE - What It Means For You,Japan,Oil-Dependent,BASELINE,en,Finally some good news - alternative supply routes being established.,,0.4404,positive,7
yt_000135,2026-02-16,Energy Crisis 2026: The Full Story,India,Oil-Dependent,BASELINE,en,Energy policy discussion - should we diversify more?,,0.2732,positive,0
yt_000136,2026-02-16,بحران تنگه هرمز — توضیح کامل,India,Oil-Dependent,BASELINE,en,How dependent is our country on Hormuz oil imports?,,0.0,neutral,27
yt_000137,2026-02-16,Will Gas Prices Ever Come Down?,India,Oil-Dependent,BASELINE,en,Oil markets seem stable today despite the noise.,,0.296,positive,1
yt_000138,2026-02-16,Will Gas Prices Ever Come Down?,India,Oil-Dependent,BASELINE,en,"Normal day, normal prices. Hope it stays that way.",,0.4404,positive,0
yt_000139,2026-02-16,Oil Prices SURGE - What It Means For You,India,Oil-Dependent,BASELINE,en,Interesting article about global energy supply chains.,,0.5859,positive,0
yt_000140,2026-02-16,Oil Prices SURGE - What It Means For You,India,Oil-Dependent,BASELINE,en,What do you think about the tensions in the Gulf region?,,-0.4019,negative,2
yt_000141,2026-02-16,Strait of Hormuz Crisis Explained,India,Oil-Dependent,BASELINE,en,Oil markets seem stable today despite the noise.,,0.296,positive,6
yt_000142,2026-02-16,بحران انرژی ۲۰۲۶ — آخرین اخبار,India,Oil-Dependent,BASELINE,en,"Normal day, normal prices. Hope it stays that way.",,0.4404,positive,2
yt_000143,2026-02-16,Oil Prices SURGE - What It Means For You,India,Oil-Dependent,BASELINE,en,Reading about Iran nuclear talks. Fingers crossed.,,0.0,neutral,2
yt_000144,2026-02-16,بحران انرژی ۲۰۲۶ — آخرین اخبار,India,Oil-Dependent,BASELINE,en,Oil prices up again. Markets adjusting to the new reality.,,0.0,neutral,1
yt_000145,2026-02-16,Will Gas Prices Ever Come Down?,India,Oil-Dependent,BASELINE,en,Following the Strait of Hormuz developments closely. Complicated situation.,,0.0,neutral,2
yt_000146,2026-02-16,Will Gas Prices Ever Come Down?,India,Oil-Dependent,BASELINE,en,Energy policy discussion - should we diversify more?,,0.2732,positive,7
yt_000147,2026-02-16,بحران تنگه هرمز — توضیح کامل,India,Oil-Dependent,BASELINE,en,Gas prices are absolutely insane right now. Can't even afford to commute anymore.,,-0.4576,negative,3
yt_000148,2026-02-16,افزایش قیمت نفت — تاثیر بر زندگی مردم,India,Oil-Dependent,BASELINE,en,"Normal day, normal prices. Hope it stays that way.",,0.4404,positive,0
yt_000149,2026-02-16,بحران تنگه هرمز — توضیح کامل,India,Oil-Dependent,BASELINE,en,This Hormuz crisis is destroying our economy. People are panicking.,,-0.891,negative,0
yt_000150,2026-02-16,Strait of Hormuz Crisis Explained,India,Oil-Dependent,BASELINE,en,Weekend plans unaffected by any geopolitical drama so far.,,0.0,neutral,2
yt_000151,2026-02-16,Oil Prices SURGE - What It Means For You,India,Oil-Dependent,BASELINE,en,Renewable energy looking more important than ever. Silver lining to this crisis.,,-0.3983,negative,1
yt_000152,2026-02-16,بحران انرژی ۲۰۲۶ — آخرین اخبار,India,Oil-Dependent,BASELINE,en,Reading about Iran nuclear talks. Fingers crossed.,,0.0,neutral,3
yt_000153,2026-02-16,Strait of Hormuz Crisis Explained,India,Oil-Dependent,BASELINE,en,Oil prices up again. Markets adjusting to the new reality.,,0.0,neutral,11
yt_000154,2026-02-16,Will Gas Prices Ever Come Down?,India,Oil-Dependent,BASELINE,en,Interesting analysis of the Hormuz situation and oil flows.,,0.4019,positive,0
yt_000155,2026-02-16,Strait of Hormuz Crisis Explained,India,Oil-Dependent,BASELINE,en,Renewable energy looking more important than ever. Silver lining to this crisis.,,-0.3983,negative,20
yt_000156,2026-02-16,Energy Crisis 2026: The Full Story,India,Oil-Dependent,BASELINE,en,Interesting article about global energy supply chains.,,0.5859,positive,6
yt_000157,2026-02-16,How the Hormuz Blockade Affects India,India,Oil-Dependent,BASELINE,en,Reading about Iran nuclear talks. Fingers crossed.,,0.0,neutral,0
