article_id,date,source,country,group,phase,language,gdelt_tone,gdelt_positive_score,gdelt_negative_score,num_mentions,num_sources
gdelt_000078,2026-01-07,Rappler,Philippines,Oil-Dependent,BASELINE,en,0.32,0.63,0.0,8,8
gdelt_000079,2026-01-07,Manila Bulletin,Philippines,Oil-Dependent,BASELINE,en,-0.88,0.0,2.66,10,11
gdelt_000080,2026-01-07,Geo News,Pakistan,Oil-Dependent,BASELINE,en,0.0,0.05,2.8,34,13
gdelt_000081,2026-01-07,Yonhap,South Korea,Oil-Dependent,BASELINE,en,2.17,2.55,0.0,41,2
gdelt_000082,2026-01-07,VG,Norway,Oil-Independent,BASELINE,en,0.25,2.9,1.26,13,15
gdelt_000083,2026-01-07,NRK,Norway,Oil-Independent,BASELINE,en,-0.63,1.87,2.55,43,7
gdelt_000084,2026-01-07,CBC,Canada,Oil-Independent,BASELINE,en,-0.81,1.5,2.02,44,5
gdelt_000085,2026-01-07,NYT,USA,Oil-Independent,BASELINE,en,0.59,1.47,0.94,9,2
gdelt_000086,2026-01-07,O Globo,Brazil,Oil-Independent,BASELINE,en,2.49,3.53,0.0,27,7
gdelt_000087,2026-01-07,O Globo,Brazil,Oil-Independent,BASELINE,en,-1.14,0.29,2.92,42,7
gdelt_000088,2026-01-07,BBC,UK,Oil-Independent,BASELINE,en,1.76,2.53,0.0,46,7
gdelt_000089,2026-01-07,Tolo News,Afghanistan,Oil-Dependent,BASELINE,fa,2.09,2.92,0.0,39,10
gdelt_000090,2026-01-08,NDTV,India,Oil-Dependent,BASELINE,en,2.62,4.24,0.0,9,1
gdelt_000091,2026-01-08,Times of India,India,Oil-Dependent,BASELINE,en,-0.04,2.84,0.66,9,12
gdelt_000092,2026-01-08,Manila Bulletin,Philippines,Oil-Dependent,BASELINE,en,2.0,4.23,0.0,33,2
gdelt_000093,2026-01-08,Korea Herald,South Korea,Oil-Dependent,BASELINE,en,-0.46,2.48,1.41,4,4
gdelt_000094,2026-01-08,Yonhap,South Korea,Oil-Dependent,BASELINE,en,0.02,0.2,2.05,24,8
gdelt_000095,2026-01-08,Dhaka Tribune,Bangladesh,Oil-Dependent,BASELINE,en,-2.47,0.0,4.85,19,3
gdelt_000096,2026-01-08,CBC,Canada,Oil-Independent,BASELINE,en,-2.18,0.0,4.22,40,13
gdelt_000097,2026-01-08,ABC Australia,Australia,Oil-Independent,BASELINE,en,-0.26,0.75,2.05,38,7
gdelt_000098,2026-01-08,ABC Australia,Australia,Oil-Independent,BASELINE,en,0.47,1.62,1.63,20,11
gdelt_000099,2026-01-08,BBC,UK,Oil-Independent,BASELINE,en,0.29,1.03,0.38,8,13
gdelt_000100,2026-01-08,BBC,UK,Oil-Independent,BASELINE,en,0.83,3.06,1.8,41,10
gdelt_000101,2026-01-09,Japan Times,Japan,Oil-Dependent,BASELINE,en,1.22,1.64,1.25,42,1
gdelt_000102,2026-01-09,Manila Bulletin,Philippines,Oil-Dependent,BASELINE,en,-0.3,1.31,0.45,35,12
gdelt_000103,2026-01-09,Geo News,Pakistan,Oil-Dependent,BASELINE,en,0.34,1.75,1.44,26,13
gdelt_000104,2026-01-09,Dawn,Pakistan,Oil-Dependent,BASELINE,en,3.53,5.57,0.0,11,3
gdelt_000105,2026-01-09,Dhaka Tribune,Bangladesh,Oil-Dependent,BASELINE,en,-1.5,0.0,2.42,41,9
gdelt_000106,2026-01-09,Daily Star BD,Bangladesh,Oil-Dependent,BASELINE,en,-2.73,0.0,5.36,2,10
gdelt_000107,2026-01-09,National Post,Canada,Oil-Independent,BASELINE,en,0.01,0.63,0.44,34,7
gdelt_000108,2026-01-09,Fox News,USA,Oil-Independent,BASELINE,en,-2.11,0.0,3.17,30,6
gdelt_000109,2026-01-09,AP News,USA,Oil-Independent,BASELINE,en,2.21,3.71,0.0,21,15
gdelt_000110,2026-01-09,Folha de S.Paulo,Brazil,Oil-Independent,BASELINE,en,0.39,2.27,2.56,40,12
gdelt_000111,2026-01-09,ABC Australia,Australia,Oil-Independent,BASELINE,en,-0.39,0.13,2.93,30,8
gdelt_000112,2026-01-09,Tasnim,Iran,Conflict-Zone,BASELINE,fa,5.72,8.49,0.0,35,4
gdelt_000113,2026-01-09,Tehran Times,Iran,Conflict-Zone,BASELINE,fa,2.06,4.89,0.0,5,14
gdelt_000114,2026-01-10,Philippine Star,Philippines,Oil-Dependent,BASELINE,en,-2.19,0.0,4.92,13,4
gdelt_000115,2026-01-10,Dawn,Pakistan,Oil-Dependent,BASELINE,en,-1.8,0.78,3.78,18,12
gdelt_000116,2026-01-10,Geo News,Pakistan,Oil-Dependent,BASELINE,en,2.5,3.49,0.0,3,8
gdelt_000117,2026-01-10,Yonhap,South Korea,Oil-Dependent,BASELINE,en,1.14,3.36,1.3,42,5
gdelt_000118,2026-01-10,Yonhap,South Korea,Oil-Dependent,BASELINE,en,-1.04,0.25,1.37,35,4
gdelt_000119,2026-01-10,Daily Star BD,Bangladesh,Oil-Dependent,BASELINE,en,-2.58,0.0,2.63,5,15
gdelt_000120,2026-01-10,Globe and Mail,Canada,Oil-Independent,BASELINE,en,3.23,4.14,0.0,5,14
gdelt_000121,2026-01-10,Fox News,USA,Oil-Independent,BASELINE,en,2.49,4.82,0.0,32,1
gdelt_000122,2026-01-10,Tolo News,Afghanistan,Oil-Dependent,BASELINE,fa,2.18,2.85,0.0,31,14
gdelt_000123,2026-01-10,Tolo News,Afghanistan,Oil-Dependent,BASELINE,fa,0.73,1.52,0.9,2,13
gdelt_000124,2026-01-11,Times of India,India,Oil-Dependent,BASELINE,en,2.28,4.4,0.0,20,13
gdelt_000125,2026-01-11,NDTV,India,Oil-Dependent,BASELINE,en,0.61,2.77,0.0,14,3
gdelt_000126,2026-01-11,Philippine Star,Philippines,Oil-Dependent,BASELINE,en,-0.44,1.68,0.74,26,4
gdelt_000127,2026-01-11,Yonhap,South Korea,Oil-Dependent,BASELINE,en,0.37,2.48,1.68,35,5
gdelt_000128,2026-01-11,NRK,Norway,Oil-Independent,BASELINE,en,2.28,4.98,0.0,41,3
gdelt_000129,2026-01-11,O Globo,Brazil,Oil-Independent,BASELINE,en,-1.04,0.0,3.12,49,8
gdelt_000130,2026-01-11,O Globo,Brazil,Oil-Independent,BASELINE,en,0.14,1.95,0.67,45,14
gdelt_000131,2026-01-11,Sky News,UK,Oil-Independent,BASELINE,en,0.84,2.49,1.71,48,6
gdelt_000132,2026-01-11,BBC,UK,Oil-Independent,BASELINE,en,2.64,4.49,0.0,5,6
gdelt_000133,2026-01-12,Nikkei Asia,Japan,Oil-Dependent,BASELINE,en,4.27,5.45,0.0,33,15
gdelt_000134,2026-01-12,NHK World,Japan,Oil-Dependent,BASELINE,en,3.58,6.3,0.0,45,14
gdelt_000135,2026-01-12,The Hindu,India,Oil-Dependent,BASELINE,en,2.75,5.71,0.0,12,7
gdelt_000136,2026-01-12,Rappler,Philippines,Oil-Dependent,BASELINE,en,1.71,3.16,0.0,13,15
gdelt_000137,2026-01-12,Philippine Star,Philippines,Oil-Dependent,BASELINE,en,1.79,2.14,0.15,26,11
gdelt_000138,2026-01-12,Geo News,Pakistan,Oil-Dependent,BASELINE,en,-1.18,0.0,3.57,3,4
gdelt_000139,2026-01-12,Geo News,Pakistan,Oil-Dependent,BASELINE,en,1.29,1.91,0.0,6,1
gdelt_000140,2026-01-12,Yonhap,South Korea,Oil-Dependent,BASELINE,en,-0.22,2.56,2.77,2,10
gdelt_000141,2026-01-12,Korea Herald,South Korea,Oil-Dependent,BASELINE,en,-1.17,0.03,2.92,47,2
gdelt_000142,2026-01-12,Daily Star BD,Bangladesh,Oil-Dependent,BASELINE,en,1.54,1.85,0.0,32,11
gdelt_000143,2026-01-12,NRK,Norway,Oil-Independent,BASELINE,en,2.0,2.44,0.45,22,3
gdelt_000144,2026-01-12,CBC,Canada,Oil-Independent,BASELINE,en,-0.03,2.2,0.49,39,15
gdelt_000145,2026-01-12,CNN,USA,Oil-Independent,BASELINE,en,3.37,6.1,0.0,50,11
gdelt_000146,2026-01-12,Sydney Morning Herald,Australia,Oil-Independent,BASELINE,en,0.66,1.68,0.0,8,10
gdelt_000147,2026-01-12,BBC,UK,Oil-Independent,BASELINE,en,-0.69,1.55,2.85,18,15
gdelt_000148,2026-01-12,Sky News,UK,Oil-Independent,BASELINE,en,0.7,3.48,0.96,48,12
gdelt_000149,2026-01-12,Tasnim,Iran,Conflict-Zone,BASELINE,fa,-4.4,0.0,4.63,16,4
gdelt_000150,2026-01-12,Fars News,Iran,Conflict-Zone,BASELINE,fa,1.75,2.75,1.21,41,9
gdelt_000151,2026-01-12,Tolo News,Afghanistan,Oil-Dependent,BASELINE,fa,-0.38,2.36,0.8,1,1
gdelt_000152,2026-01-13,NDTV,India,Oil-Dependent,BASELINE,en,1.1,2.49,0.48,12,1
gdelt_000153,2026-01-13,Manila Bulletin,Philippines,Oil-Dependent,BASELINE,en,-2.26,0.0,3.42,42,5
gdelt_000154,2026-01-13,Manila Bulletin,Philippines,Oil-Dependent,BASELINE,en,0.66,1.5,1.21,43,5
gdelt_000155,2026-01-13,Korea Herald,South Korea,Oil-Dependent,BASELINE,en,5.06,5.55,0.0,6,10
gdelt_000156,2026-01-13,Yonhap,South Korea,Oil-Dependent,BASELINE,en,-1.97,0.0,2.72,36,3
gdelt_000157,2026-01-13,Reuters,USA,Oil-Independent,BASELINE,en,3.59,6.0,0.0,32,6
gdelt_000158,2026-01-13,CNN,USA,Oil-Independent,BASELINE,en,0.76,1.73,2.1,37,15
gdelt_000159,2026-01-13,Folha de S.Paulo,Brazil,Oil-Independent,BASELINE,en,1.29,3.75,0.74,37,3
gdelt_000160,2026-01-13,O Globo,Brazil,Oil-Independent,BASELINE,en,1.08,3.82,0.0,41,10
gdelt_000161,2026-01-13,Tolo News,Afghanistan,Oil-Dependent,BASELINE,fa,3.8,5.75,0.0,50,15
gdelt_000162,2026-01-14,Nikkei Asia,Japan,Oil-Dependent,BASELINE,en,-1.9,0.12,2.92,7,15
gdelt_000163,2026-01-14,The Hindu,India,Oil-Dependent,BASELINE,en,-2.18,0.0,2.94,43,10
gdelt_000164,2026-01-14,Philippine Star,Philippines,Oil-Dependent,BASELINE,en,-1.7,0.0,4.29,15,6
gdelt_000165,2026-01-14,Rappler,Philippines,Oil-Dependent,BASELINE,en,-1.31,1.09,4.28,50,15
gdelt_000166,2026-01-14,Yonhap,South Korea,Oil-Dependent,BASELINE,en,-0.66,0.0,1.65,41,12
gdelt_000167,2026-01-14,Dhaka Tribune,Bangladesh,Oil-Dependent,BASELINE,en,1.05,3.05,1.95,12,10
gdelt_000168,2026-01-14,Dhaka Tribune,Bangladesh,Oil-Dependent,BASELINE,en,0.35,1.91,0.85,21,14
gdelt_000169,2026-01-14,NRK,Norway,Oil-Independent,BASELINE,en,1.01,3.89,0.06,38,9
gdelt_000170,2026-01-14,Globe and Mail,Canada,Oil-Independent,BASELINE,en,3.14,3.81,0.0,25,11
gdelt_000171,2026-01-14,CNN,USA,Oil-Independent,BASELINE,en,-1.73,0.0,3.48,25,11
gdelt_000172,2026-01-14,Reuters,USA,Oil-Independent,BASELINE,en,-1.77,0.0,2.09,22,1
gdelt_000173,2026-01-14,ABC Australia,Australia,Oil-Independent,BASELINE,en,0.51,1.25,0.87,38,6
gdelt_000174,2026-01-14,BBC,UK,Oil-Independent,BASELINE,en,2.07,2.62,0.0,5,14
gdelt_000175,2026-01-14,Tehran Times,Iran,Conflict-Zone,BASELINE,fa,2.16,2.79,0.0,30,8
gdelt_000176,2026-01-14,Press TV,Iran,Conflict-Zone,BASELINE,fa,2.31,3.9,0.0,27,6
gdelt_000177,2026-01-14,Pajhwok,Afghanistan,Oil-Dependent,BASELINE,fa,0.51,1.73,1.25,18,2
gdelt_000178,2026-01-14,Tolo News,Afghanistan,Oil-Dependent,BASELINE,fa,-0.8,0.0,2.06,47,8
gdelt_000179,2026-01-15,NHK World,Japan,Oil-Dependent,BASELINE,en,-0.42,1.09,2.67,17,8
gdelt_000180,2026-01-15,Nikkei Asia,Japan,Oil-Dependent,BASELINE,en,1.69,3.12,0.0,47,7
gdelt_000181,2026-01-15,Geo News,Pakistan,Oil-Dependent,BASELINE,en,-0.37,2.2,1.53,14,5
gdelt_000182,2026-01-15,Yonhap,South Korea,Oil-Dependent,BASELINE,en,-1.2,0.28,2.21,5,12
gdelt_000183,2026-01-15,Daily Star BD,Bangladesh,Oil-Dependent,BASELINE,en,-1.75,0.66,2.4,20,8
gdelt_000184,2026-01-15,Aftenposten,Norway,Oil-Independent,BASELINE,en,-1.44,0.0,1.59,39,3
gdelt_000185,2026-01-15,VG,Norway,Oil-Independent,BASELINE,en,1.18,2.28,0.0,25,12
gdelt_000186,2026-01-15,National Post,Canada,Oil-Independent,BASELINE,en,-3.89,0.0,6.14,36,10
gdelt_000187,2026-01-15,BBC,UK,Oil-Independent,BASELINE,en,1.95,2.29,0.62,4,2
gdelt_000188,2026-01-15,The Guardian,UK,Oil-Independent,BASELINE,en,-0.61,2.11,2.67,28,5
gdelt_000189,2026-01-15,Press TV,Iran,Conflict-Zone,BASELINE,fa,4.27,4.7,0.0,17,9
gdelt_000190,2026-01-15,Tehran Times,Iran,Conflict-Zone,BASELINE,fa,0.56,3.28,0.0,23,8
gdelt_000191,2026-01-15,Pajhwok,Afghanistan,Oil-Dependent,BASELINE,fa,4.4,6.48,0.0,20,11
gdelt_000192,2026-01-15,Tolo News,Afghanistan,Oil-Dependent,BASELINE,fa,3.69,5.16,0.0,28,5
gdelt_000193,2026-01-16,Nikkei Asia,Japan,Oil-Dependent,BASELINE,en,1.19,4.04,0.75,2,7
gdelt_000194,2026-01-16,The Hindu,India,Oil-Dependent,BASELINE,en,-0.76,0.33,3.61,38,6
gdelt_000195,2026-01-16,Daily Star BD,Bangladesh,Oil-Dependent,BASELINE,en,-2.64,0.0,3.37,39,7
gdelt_000196,2026-01-16,NRK,Norway,Oil-Independent,BASELINE,en,1.64,3.8,1.33,49,9
gdelt_000197,2026-01-16,VG,Norway,Oil-Independent,BASELINE,en,-1.16,0.0,2.27,36,4
gdelt_000198,2026-01-16,CBC,Canada,Oil-Independent,BASELINE,en,0.97,2.84,0.0,10,1
gdelt_000199,2026-01-16,National Post,Canada,Oil-Independent,BASELINE,en,1.38,2.43,0.0,29,11
gdelt_000200,2026-01-16,Reuters,USA,Oil-Independent,BASELINE,en,-4.59,0.0,5.72,29,3
gdelt_000201,2026-01-16,Reuters,USA,Oil-Independent,BASELINE,en,-0.13,0.22,0.81,1,9
gdelt_000202,2026-01-16,O Globo,Brazil,Oil-Independent,BASELINE,en,-3.22,0.0,4.34,21,7
gdelt_000203,2026-01-16,ABC Australia,Australia,Oil-Independent,BASELINE,en,-1.37,0.0,4.22,49,14
gdelt_000204,2026-01-16,Sky News,UK,Oil-Independent,BASELINE,en,-0.61,0.0,2.54,36,12
gdelt_000205,2026-01-16,BBC,UK,Oil-Independent,BASELINE,en,0.44,2.56,2.41,42,3
gdelt_000206,2026-01-16,Pajhwok,Afghanistan,Oil-Dependent,BASELINE,fa,3.91,5.83,0.0,18,6
gdelt_000207,2026-01-17,Nikkei Asia,Japan,Oil-Dependent,BASELINE,en,0.95,3.15,0.6,8,9
gdelt_000208,2026-01-17,Nikkei Asia,Japan,Oil-Dependent,BASELINE,en,-1.08,1.23,1.4,22,5
gdelt_000209,2026-01-17,Times of India,India,Oil-Dependent,BASELINE,en,0.67,1.81,1.67,10,2
gdelt_000210,2026-01-17,The Hindu,India,Oil-Dependent,BASELINE,en,-0.7,0.59,1.73,11,1
gdelt_000211,2026-01-17,Philippine Star,Philippines,Oil-Dependent,BASELINE,en,2.41,2.62,0.0,23,8
gdelt_000212,2026-01-17,Manila Bulletin,Philippines,Oil-Dependent,BASELINE,en,0.14,1.99,2.03,46,1
gdelt_000213,2026-01-17,Geo News,Pakistan,Oil-Dependent,BASELINE,en,-1.47,0.89,4.25,13,10
gdelt_000214,2026-01-17,Dawn,Pakistan,Oil-Dependent,BASELINE,en,2.74,2.79,0.0,29,8
gdelt_000215,2026-01-17,Yonhap,South Korea,Oil-Dependent,BASELINE,en,1.05,1.75,0.0,15,10
gdelt_000216,2026-01-17,NRK,Norway,Oil-Independent,BASELINE,en,1.3,3.58,0.0,44,8
gdelt_000217,2026-01-17,National Post,Canada,Oil-Independent,BASELINE,en,-3.6,0.0,5.93,8,13
gdelt_000218,2026-01-17,Globe and Mail,Canada,Oil-Independent,BASELINE,en,2.47,3.12,0.51,35,8
gdelt_000219,2026-01-17,Reuters,USA,Oil-Independent,BASELINE,en,2.2,2.44,0.52,42,5
gdelt_000220,2026-01-17,Reuters,USA,Oil-Independent,BASELINE,en,-1.68,0.32,2.58,16,2
gdelt_000221,2026-01-17,Sydney Morning Herald,Australia,Oil-Independent,BASELINE,en,1.51,1.86,0.1,48,8
gdelt_000222,2026-01-17,BBC,UK,Oil-Independent,BASELINE,en,2.07,4.2,0.0,32,12
gdelt_000223,2026-01-17,IRNA,Iran,Conflict-Zone,BASELINE,fa,2.27,2.72,0.0,11,9
gdelt_000224,2026-01-18,The Hindu,India,Oil-Dependent,BASELINE,en,0.31,2.8,0.17,14,3
gdelt_000225,2026-01-18,Dawn,Pakistan,Oil-Dependent,BASELINE,en,1.7,3.7,0.0,40,9
gdelt_000226,2026-01-18,Geo News,Pakistan,Oil-Dependent,BASELINE,en,3.25,3.48,0.0,29,1
gdelt_000227,2026-01-18,Yonhap,South Korea,Oil-Dependent,BASELINE,en,-1.31,1.49,3.55,31,8
gdelt_000228,2026-01-18,Yonhap,South Korea,Oil-Dependent,BASELINE,en,2.22,2.61,0.0,43,11
gdelt_000229,2026-01-18,National Post,Canada,Oil-Independent,BASELINE,en,-1.19,0.38,2.25,32,15
gdelt_000230,2026-01-18,Folha de S.Paulo,Brazil,Oil-Independent,BASELINE,en,0.94,1.78,0.0,31,9
gdelt_000231,2026-01-18,Folha de S.Paulo,Brazil,Oil-Independent,BASELINE,en,-0.01,1.35,2.84,29,9
gdelt_000232,2026-01-18,Sydney Morning Herald,Australia,Oil-Independent,BASELINE,en,-0.49,0.52,0.49,15,11
gdelt_000233,2026-01-18,Sky News,UK,Oil-Independent,BASELINE,en,1.38,3.44,0.6,33,10
gdelt_000234,2026-01-18,Tasnim,Iran,Conflict-Zone,BASELINE,fa,-1.84,0.0,3.77,20,2
gdelt_000235,2026-01-18,IRNA,Iran,Conflict-Zone,BASELINE,fa,1.82,2.92,0.55,39,2
gdelt_000236,2026-01-18,Tolo News,Afghanistan,Oil-Dependent,BASELINE,fa,1.3,1.62,1.35,2,12
gdelt_000237,2026-01-19,Nikkei Asia,Japan,Oil-Dependent,BASELINE,en,4.7,5.83,0.0,5,12
